"Entity","Code","Year","Total_Renewable","Hydropower","Wind","Solar","Other_renewables"
"Africa","AFR",1965,13905635,13905635,0,0,0
"Africa","AFR",1966,15510004,15510004,0,0,0
"Africa","AFR",1967,16190636,16190636,0,0,0
"Africa","AFR",1968,18938341,18938341,0,0,0
"Africa","AFR",1969,2210089,2210089,0,0,0
"Africa","AFR",1970,2763043,2763043,0,0,0
"Africa","AFR",1971,26013555,26013391,0,0,164
"Africa","AFR",1972,29633361,29633196,0,0,165
"Africa","AFR",1973,31345724,31345707,0,0,17
"Africa","AFR",1974,35667251,35667076,0,0,175
"Africa","AFR",1975,3771969,3771797,0,0,172
"Africa","AFR",1976,41797819,41797634,0,0,185
"Africa","AFR",1977,4593066,4592877,0,0,189
"Africa","AFR",1978,4630889,4630694,0,0,195
"Africa","AFR",1979,4956724,4956523,0,0,201
"Africa","AFR",1980,48311990,48311783,0,0,207
"Africa","AFR",1981,50193123,50192905,0,0,218
"Africa","AFR",1982,50206474,50206238,0,0,236
"Africa","AFR",1983,4524739,4524716,0,0,23
"Africa","AFR",1984,44490209,44489975,0,0,234
"Africa","AFR",1985,49449953,49449684,0,0,269
"Africa","AFR",1986,51146033,51145374,0,0,659
"Africa","AFR",1987,4906304,4905646,0,0,658
"Africa","AFR",1988,53594082,53593456,0,0,626
"Africa","AFR",1989,56276832,56276215,0,0,617
"Africa","AFR",1990,137829653,57254658,0,0,80574995
"Africa","AFR",1991,14282626,6065149,0,0,8217477
"Africa","AFR",1992,91180686,5786029,0,0,85394657
"Africa","AFR",1993,151619702,56682507,2,0,94937193
"Africa","AFR",1994,90429195,5759605,54,0,84669536
"Africa","AFR",1995,7003555,5975028,63,0,1028464
"Africa","AFR",1996,18908226,6229786,71,0,12678369
"Africa","AFR",1997,77795873,63831898,72,0,13963903
"Africa","AFR",1998,68379196,66654884,76,0,1724236
"Africa","AFR",1999,87782296,70684265,198,0,17097833
"Africa","AFR",2000,30293182,7530208,1755,12091,22749128
"Africa","AFR",2001,104449371,80910614,41558,15053,23482146
"Africa","AFR",2002,48529290,8506818,443584,16457712,23121176
"Africa","AFR",2003,128890516,82617035,535599,19282296,26455586
"Africa","AFR",2004,48861237,8722669,7682815,2325488,30130265
"Africa","AFR",2005,74487691,8884313,7803882,27105464,30694032
"Africa","AFR",2006,51948895,9205469,852607,3509121,38381698
"Africa","AFR",2007,95808580,9520505,10163264,44129808,31995003
"Africa","AFR",2008,118545004,9696208,13119144,62506974,33222678
"Africa","AFR",2009,70711653,9956687,15895555,8354463,36504948
"Africa","AFR",2010,189204229,107687065,22847242,20111556,38558366
"Africa","AFR",2011,133497268,11073344,23878222,58679986,39865716
"Africa","AFR",2012,235281976,110881065,25177002,94917136,4306773
"Africa","AFR",2013,93719630,11732104,3595774,73769605,4622147
"Africa","AFR",2014,198983948,124171074,50624056,18555973,5632845
"Africa","AFR",2015,237569090,120966484,8912966,35459864,72229776
"Africa","AFR",2016,101538253,11933239,11178679,5258691,73167644
"Africa","AFR",2017,170639129,12553052,13613888,69112763,75359426
"Africa","AFR",2018,32665104,1344142,14764321,8334139,8222502
"Africa","AFR",2019,44108050,13783789,19283148,11032807,8306
"Africa","AFR",2020,57029794,14740895,19111317,15181535,7996047
"Africa","AFR",2021,64031852,15550735,22960455,17457838,8062824
"Africa","AFR",2022,66614102,16192616,24724098,17226694,8470694
"Africa","AFR",2023,73815505,16711745,28409922,18962694,9731144
"Africa","AFR",2024,58958866,17007578,29071463,2086424,10793401
"Africa (EI)","REG",1965,13905635,13905635,0,0,0
"Africa (EI)","REG",1966,15510004,15510004,0,0,0
"Africa (EI)","REG",1967,16190636,16190636,0,0,0
"Africa (EI)","REG",1968,18938341,18938341,0,0,0
"Africa (EI)","REG",1969,2210089,2210089,0,0,0
"Africa (EI)","REG",1970,2763043,2763043,0,0,0
"Africa (EI)","REG",1971,26013555,26013391,0,0,164
"Africa (EI)","REG",1972,29633361,29633196,0,0,165
"Africa (EI)","REG",1973,31345724,31345707,0,0,17
"Africa (EI)","REG",1974,35667251,35667076,0,0,175
"Africa (EI)","REG",1975,3771969,3771797,0,0,172
"Africa (EI)","REG",1976,41797819,41797634,0,0,185
"Africa (EI)","REG",1977,4593066,4592877,0,0,189
"Africa (EI)","REG",1978,4630889,4630694,0,0,195
"Africa (EI)","REG",1979,4956724,4956523,0,0,201
"Africa (EI)","REG",1980,48311990,48311783,0,0,207
"Africa (EI)","REG",1981,50193123,50192905,0,0,218
"Africa (EI)","REG",1982,50206474,50206238,0,0,236
"Africa (EI)","REG",1983,4524739,4524716,0,0,23
"Africa (EI)","REG",1984,44490209,44489975,0,0,234
"Africa (EI)","REG",1985,49449953,49449684,0,0,269
"Africa (EI)","REG",1986,51146033,51145374,0,0,659
"Africa (EI)","REG",1987,4906304,4905646,0,0,658
"Africa (EI)","REG",1988,53594082,53593456,0,0,626
"Africa (EI)","REG",1989,56276832,56276215,0,0,617
"Africa (EI)","REG",1990,137829653,57254658,0,0,80574995
"Africa (EI)","REG",1991,14282626,6065149,0,0,8217477
"Africa (EI)","REG",1992,91180686,5786029,0,0,85394657
"Africa (EI)","REG",1993,151619702,56682507,2,0,94937193
"Africa (EI)","REG",1994,90429195,5759605,54,0,84669536
"Africa (EI)","REG",1995,7003555,5975028,63,0,1028464
"Africa (EI)","REG",1996,18908226,6229786,71,0,12678369
"Africa (EI)","REG",1997,77795873,63831898,72,0,13963903
"Africa (EI)","REG",1998,68379196,66654884,76,0,1724236
"Africa (EI)","REG",1999,87782296,70684265,198,0,17097833
"Africa (EI)","REG",2000,30293182,7530208,1755,12091,22749128
"Africa (EI)","REG",2001,104449371,80910614,41558,15053,23482146
"Africa (EI)","REG",2002,48529290,8506818,443584,16457712,23121176
"Africa (EI)","REG",2003,128890516,82617035,535599,19282296,26455586
"Africa (EI)","REG",2004,48861237,8722669,7682815,2325488,30130265
"Africa (EI)","REG",2005,74487691,8884313,7803882,27105464,30694032
"Africa (EI)","REG",2006,51948895,9205469,852607,3509121,38381698
"Africa (EI)","REG",2007,95808580,9520505,10163264,44129808,31995003
"Africa (EI)","REG",2008,118545004,9696208,13119144,62506974,33222678
"Africa (EI)","REG",2009,70711653,9956687,15895555,8354463,36504948
"Africa (EI)","REG",2010,189204229,107687065,22847242,20111556,38558366
"Africa (EI)","REG",2011,133497268,11073344,23878222,58679986,39865716
"Africa (EI)","REG",2012,235281976,110881065,25177002,94917136,4306773
"Africa (EI)","REG",2013,93719630,11732104,3595774,73769605,4622147
"Africa (EI)","REG",2014,198983948,124171074,50624056,18555973,5632845
"Africa (EI)","REG",2015,237569090,120966484,8912966,35459864,72229776
"Africa (EI)","REG",2016,101538253,11933239,11178679,5258691,73167644
"Africa (EI)","REG",2017,170639129,12553052,13613888,69112763,75359426
"Africa (EI)","REG",2018,32665104,1344142,14764321,8334139,8222502
"Africa (EI)","REG",2019,44108050,13783789,19283148,11032807,8306
"Africa (EI)","REG",2020,57029794,14740895,19111317,15181535,7996047
"Africa (EI)","REG",2021,64031852,15550735,22960455,17457838,8062824
"Africa (EI)","REG",2022,66614102,16192616,24724098,17226694,8470694
"Africa (EI)","REG",2023,73815505,16711745,28409922,18962694,9731144
"Africa (EI)","REG",2024,58958866,17007578,29071463,2086424,10793401
"Algeria","DZA",1965,4,4,0,0,0
"Algeria","DZA",1966,355,355,0,0,0
"Algeria","DZA",1967,41,41,0,0,0
"Algeria","DZA",1968,563,563,0,0,0
"Algeria","DZA",1969,361,361,0,0,0
"Algeria","DZA",1970,58,58,0,0,0
"Algeria","DZA",1971,33,33,0,0,0
"Algeria","DZA",1972,495,495,0,0,0
"Algeria","DZA",1973,752,752,0,0,0
"Algeria","DZA",1974,497,497,0,0,0
"Algeria","DZA",1975,328,328,0,0,0
"Algeria","DZA",1976,389,389,0,0,0
"Algeria","DZA",1977,269,269,0,0,0
"Algeria","DZA",1978,25,25,0,0,0
"Algeria","DZA",1979,291,291,0,0,0
"Algeria","DZA",1980,257,257,0,0,0
"Algeria","DZA",1981,366,366,0,0,0
"Algeria","DZA",1982,479,479,0,0,0
"Algeria","DZA",1983,235,235,0,0,0
"Algeria","DZA",1984,452,452,0,0,0
"Algeria","DZA",1985,646,646,0,0,0
"Algeria","DZA",1986,25,25,0,0,0
"Algeria","DZA",1987,499,499,0,0,0
"Algeria","DZA",1988,183,183,0,0,0
